match_id,umpire_id,role
778563,427344,Home Plate
778563,482631,First Base
778563,483561,Second Base
778563,596805,Third Base
778870,427164,Home Plate
778870,483630,First Base
778870,427243,Second Base
778870,623938,Third Base
779025,504381,Home Plate
779025,605674,First Base
779025,605671,Second Base
779025,668921,Third Base
779062,482620,Home Plate
779062,665298,First Base
779062,427013,Second Base
779062,554242,Third Base
779043,577468,Home Plate
779043,427533,First Base
779043,427053,Second Base
779043,427093,Third Base
778812,658292,Home Plate
778812,483919,First Base
778812,521889,Second Base
778812,486200,Third Base
779001,427197,Home Plate
779001,503586,First Base
779001,664263,Second Base
779001,658536,Third Base
778716,665297,Home Plate
778716,427292,First Base
778716,547380,Second Base
778716,676581,Third Base
779119,596740,Home Plate
779119,503490,First Base
779119,605672,Second Base
779119,608093,Third Base
778979,482641,Home Plate
778979,490319,First Base
778979,427128,Second Base
778979,521051,Third Base
778921,485856,Home Plate
778921,544728,First Base
778921,665280,Second Base
778921,623946,Third Base
778783,605673,Home Plate
778783,484183,First Base
778783,658082,Second Base
778783,545402,Third Base
778564,484198,Home Plate
778564,483561,First Base
778564,596805,Second Base
778564,427344,Third Base
778768,484499,Home Plate
778768,427243,First Base
778768,427164,Second Base
778768,623949,Third Base
779058,482663,Home Plate
779058,427044,First Base
779058,665297,Second Base
779058,547380,Third Base
778964,658325,Home Plate
778964,623938,First Base
778964,427366,Second Base
778964,605674,Third Base
778900,427248,Home Plate
778900,427053,First Base
778900,428442,Second Base
778900,427093,Third Base
778813,665280,Home Plate
778813,503586,First Base
778813,503077,Second Base
778813,623946,Third Base
779150,676580,Home Plate
779150,427315,First Base
779150,621660,Second Base
779150,545402,Third Base
778782,482608,Home Plate
778782,691042,First Base
778782,623945,Second Base
778782,665281,Third Base
779002,608158,Home Plate
779002,429805,First Base
779002,427197,Second Base
779002,544728,Third Base
779088,607884,Home Plate
779088,573769,First Base
779088,427139,Second Base
779088,427554,Third Base
778715,665298,Home Plate
778715,427013,First Base
778715,427292,Second Base
778715,554242,Third Base
779042,427113,Home Plate
779042,482666,First Base
779042,644760,Second Base
779042,639723,Third Base
778917,664263,Home Plate
778917,483919,First Base
778917,486200,Second Base
778917,598411,Third Base
778694,503490,Home Plate
778694,504381,First Base
778694,608093,Second Base
778694,658325,Third Base
778950,644760,Home Plate
778950,427248,First Base
778950,577468,Second Base
778950,503493,Third Base
779060,575629,Home Plate
779060,665297,First Base
779060,427292,Second Base
779060,676581,Third Base
778814,544728,Home Plate
778814,658292,First Base
778814,658082,Second Base
778814,608158,Third Base
778839,503077,Home Plate
778839,483919,First Base
778839,483912,Second Base
778839,665299,Third Base
778775,484183,Home Plate
778775,427315,First Base
778775,490319,Second Base
778775,623945,Third Base
778713,427013,Home Plate
778713,427044,First Base
778713,482620,Second Base
778713,594151,Third Base
778872,623949,Home Plate
778872,484499,First Base
778872,605671,Second Base
778872,427243,Third Base
779120,605674,Home Plate
779120,605672,First Base
779120,596740,Second Base
779120,521251,Third Base
778918,503502,Home Plate
778918,700499,First Base
778918,676580,Second Base
778918,623946,Third Base
778998,503586,Home Plate
778998,521889,First Base
778998,665576,Second Base
778998,658536,Third Base
779059,427292,Home Plate
779059,575629,First Base
779059,482620,Second Base
779059,665297,Third Base
778901,639723,Home Plate
778901,427533,First Base
778901,427248,Second Base
778901,644760,Third Base
778961,668921,Home Plate
778961,596740,First Base
778961,623949,Second Base
778961,427243,Third Base
778947,482666,Home Plate
778947,427053,First Base
778947,577468,Second Base
778947,427093,Third Base
778885,554242,Home Plate
778885,547380,First Base
