record_id,pitching_role,pitch_result,innings_pitched,pitches,batters_faced,strikeouts,walks,hit_batters,hits_allowed,singles,doubles,triples,home_runs,runs_allowed,earned_runs,fly_outs,ground_outs,line_outs,stolen_bases_allowed,wild_pitches,balks,remarks
6783,RP,H,1.0,12,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(H, 1)"
6792,RP,H,1.0,11,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"(H, 1)"
6794,CL,S,1.0,10,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"(S, 1)"
6807,RP,H,1.0,16,4,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"(H, 1)"
6811,SP,W,5.0,72,19,4,1,0,3,2,1,0,0,1,1,0,9,2,0,0,0,"(W, 1-0)"
6755,RP,"",1.1,21,5,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,""
6761,SP,"",4.0,69,16,2,4,0,0,0,0,0,0,0,0,3,2,1,0,0,0,""
6773,CL,"",1.0,30,6,1,1,0,2,1,1,0,0,1,1,0,1,0,0,0,0,""
6779,RP,L,2.2,65,15,5,3,0,4,4,0,0,0,3,2,1,2,0,0,0,0,"(L, 0-1)"
6941,RP,"",2.2,30,8,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,""
6944,CL,S,1.0,21,4,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,"(S, 1)"
6969,RP,"",1.0,16,5,0,0,0,2,2,0,0,0,0,0,1,2,0,0,0,0,""
7003,SP,"",3.1,72,18,2,3,0,7,5,2,0,0,5,5,2,3,1,0,0,0,""
7009,RP,W,1.0,11,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"(W, 1-0)"
6836,CL,BS,0.2,21,4,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,"(BS, 1)"
6840,RP,H,1.0,18,5,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,"(H, 1)"
6862,SP,"",5.0,77,17,2,1,0,2,1,1,0,0,0,0,6,5,1,0,0,0,""
6885,RP,"",0.2,26,6,0,1,1,2,2,0,0,0,3,3,0,2,0,1,0,0,""
6886,RP,L,0.1,24,4,0,2,0,1,1,0,0,0,3,2,0,1,0,0,0,0,"(L, 0-1)(H, 3)"
6888,RP,H,1.1,17,5,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,"(H, 3)"
7186,RP,BS,1.1,26,7,1,1,0,2,1,1,0,0,2,2,1,0,2,0,0,0,"(BS, 1)"
7220,RP,H,1.0,10,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"(H, 3)"
7221,SP,"",5.0,61,19,2,0,0,4,3,1,0,0,0,0,4,9,0,0,0,0,""
7226,RP,H,1.1,26,5,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"(H, 3)"
7260,CL,L,0.0,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,"(L, 0-1)"
7046,SP,"",3.2,62,13,3,1,0,1,0,0,0,1,1,1,2,5,1,0,0,0,""
7051,CL,W,2.0,33,7,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,"(W, 1-0)"
7054,RP,"",1.0,21,6,1,1,0,3,3,0,0,0,1,1,0,1,0,0,0,0,""
7065,RP,"",1.0,13,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,""
7095,RP,"",0.1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
7106,RP,"",1.0,19,6,2,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,""
7403,CL,"",1.0,14,4,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,""
7438,RP,"",0.1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
7442,SP,"",4.0,51,15,2,2,0,2,2,0,0,0,1,1,2,4,2,0,0,0,""
7446,RP,"",1.0,14,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,""
7456,RP,H,2.0,43,9,1,0,0,3,2,1,0,0,1,1,1,4,0,0,1,0,"(H, 1)"
7463,RP,BS,0.2,27,6,0,1,0,3,1,0,0,2,2,2,2,0,0,0,0,0,"(BS, 2)"
7289,CL,"",0.2,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
7308,RP,H,1.0,10,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(H, 2)"
7328,RP,"",1.0,27,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,""
7353,RP,BS,0.1,14,5,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,"(BS, 2)"
7358,SP,"",6.0,86,23,4,2,0,6,4,2,0,0,3,3,2,7,2,0,0,0,""
7673,RP,"",1.2,41,9,2,2,0,2,2,0,0,0,2,1,1,1,1,1,0,0,""
7709,CL,"",1.0,15,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,""
7717,SP,"",5.0,65,20,4,0,1,3,2,1,0,0,2,1,5,4,2,0,0,0,""
7718,RP,"",1.1,24,5,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,""
7539,CL,"",1.0,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
7567,SP,"",4.1,68,15,3,0,0,2,2,0,0,0,0,0,1,7,2,0,0,0,""
7592,RP,BS,1.2,26,7,2,1,0,1,0,0,0,1,2,2,1,2,0,0,0,0,"(BS, 2)"
7600,RP,H,1.0,23,5,0,2,0,2,2,0,0,0,1,1,0,1,0,1,0,0,"(H, 2)"
7654,RP,BS,1.0,20,5,0,1,1,0,0,0,0,0,1,1,1,1,0,0,2,0,"(BS, 1)"
7887,CL,"",2.0,21,7,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,""
7948,SP,L,5.1,68,20,6,0,0,5,3,2,0,0,1,1,2,6,0,0,0,0,"(L, 0-2)"
8008,RP,"",0.2,10,3,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,""
7776,SP,W,4.0,76,15,6,3,0,1,1,0,0,0,0,0,0,4,1,1,0,0,"(W, 1-1)"
7829,CL,S,2.0,27,7,3,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,"(S, 1)"
7846,RP,H,1.0,10,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(H, 1)"
7851,RP,H,1.0,14,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"(H, 1)"
7862,RP,H,1.0,11,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"(H, 2)"
8144,RP,"",0.1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
8173,CL,"",4.0,70,21,2,2,0,7,2,4,0,1,5,5,3,4,1,1,1,0,""
8228,SP,L,3.2,62,16,3,0,0,6,5,0,0,1,4,4,1,3,0,0,0,0,"(L, 0-2)"
8023,SP,W,5.0,64,20,4,1,0,5,4,0,0,1,3,3,4,2,3,0,0,0,"(W, 1-0)"
8094,RP,H,1.0,12,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"(H, 3)"
8116,CL,"",1.0,19,5,0,1,0,1,1,0,0,0,0,0,1,2,0,0,0,0,""
8128,RP,"",1.0,12,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,""
8138,RP,"",1.0,21,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,""
8375,SP,W,5.0,91,22,6,0,0,6,4,2,0,0,3,2,3,5,0,0,1,0,"(W, 2-0)"
8380,CL,S,2.0,30,7,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"(S, 2)"
8401,RP,H,1.0,12,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"(H, 1)"
8434,RP,H,1.0,6,4,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,"(H, 3)"
