umpire_id,name,status
483919,Mark Ripperger,Active
544728,Nic Lentz,Active
521051,Nick Mahrley,Active
483569,Vic Carapazza,Active
427533,Mark Wegner,Active
427129,Bruce Dreckman,Active
575629,Shane Livensparger,Active
608158,Nate Tomlinson,Active
427243,Marvin Hudson,Active
503586,Tripp Gibson,Active
503502,Ryan Blakney,Active
608093,Junior Valentine,Active
623946,Malachi Moore,Active
427164,Andy Fletcher,Active
427128,Rob Drake,Active
596740,Jansen Visconti,Active
427113,Laz Diaz,Active
658292,Derek Thomas,Active
482631,Mike Estabrook,Active
623938,Erich Bacchus,Active
482666,D.J. Reyburn,Active
596805,John Libka,Active
503493,Sean Barber,Active
428442,James Hoye,Active
482620,Chris Conroy,Active
483630,John Tumpane,Active
664263,Edwin Jimenez,Active
639723,Brennan Miller,Active
427139,Doug Eddings,Active
483912,Mike Muchlinski,Active
573597,Gabe Morales,Active
621660,Emil Jimenez,Active
427537,Hunter Wendelstedt,Active
503077,Adam Hamari,Active
598411,Nestor Ceja,Active
429805,Todd Tichenor,Active
490319,Jordan Baker,Active
521889,Stu Scheurwater,Active
545402,John Bacon,Active
427053,Mark Carlson,Active
427044,CB Bucknor,Active
482608,Scott Barry,Active
644760,Adam Beck,Active
427248,Dan Iassogna,Active
511890,Quinn Wolcott,Active
594151,Ramon De Jesus,Active
665281,Brian Walsh,Active
482641,Adrian Johnson,Active
427093,Phil Cuzzi,Active
427413,Tony Randazzo,Active
623949,Clint Vondrak,Active
483564,Dan Bellino,Active
482663,David Rackley,Active
554242,Edwin Moscoso,Active
665297,Tom Hanahan,Active
427197,Chris Guccione,Active
504381,Will Little,Active
596809,Ryan Additon,Active
605674,Ryan Wills,Active
427013,Lance Barksdale,Active
427344,Bill Miller,Active
483561,Lance Barrett,Active
605671,Charlie Ramos,Active
668921,Jen Pawol,Active
665298,Dexter Kelley,Active
577468,Roberto Ortiz,Active
486200,David Arrieta,Active
658536,Austin Jones,Active
427292,Ron Kulpa,Active
547380,Carlos Torres,Active
676581,James Jean,Active
503490,Chris Segal,Active
605672,Jeremie Rehak,Active
485856,Jonathan Parra,Active
665280,Darius Ghani,Active
605673,Alex Tosi,Active
484183,Cory Blaser,Active
658082,Jacob Metz,Active
484198,Alan Porter,Active
484499,Manny Gonzalez,Active
658325,Tyler Jones,Active
427366,Brian O'Nora,Active
676580,Steven Jaschinski,Active
427315,Alfonso Márquez,Active
691042,Willie Traynor,Active
623945,Alex MacKay,Active
607884,Paul Clemons,Active
573769,Jeremy Riggs,Active
427554,Jim Wolf,Active
665299,Louie Krupa,Active
521251,Ben May,Active
700499,Macon Hammond,Active
665576,Brock Ballou,Active
677389,Ty Krauss,Active
677388,Pete Talkington,Active
665302,Dillon Wilson,Active
682954,Mitch Trzeciak,Active
665294,Mark Bass,Active
681783,Casey James,Active
681849,Felix Neon,Active
670567,Steven Hodgins,Active
670565,Trevor Dannegger,Active
677387,Ray Patchen,Active
670688,Mark Stewart Jr.,Active
676575,Dylan Bradley,Active
668924,Kelvis Velez,Active
681791,Bryan Van Vranken,Active
703141,Charlie Welling,Active
676583,Thomas O'Neil,Active
686967,Denver Dangerfield,Active
655461,Ray Valero,Active
670631,Tanner Moore,Active
688057,Matt Blackborow,Active
683078,Joe McCarthy,Active
676578,Thomas Fornarola,Active
665278,Ben Phillips,Active
668915,Harley Acosta,Active
676582,Evin Johnson,Active
670562,Dane Poncsak,Active
431232,Chad Fairchild,Active
605670,Dan Merzel,Active
489985,Chad Whitson,Active
433417,NO UMPIRE,Active
