match_id,date,start_time,location,home_team_id,home_score,away_team_id,away_score,status,weather,temperature,attendance
778563,2025-03-18,10:10:00,Tokyo Dome,112,1,119,4,Final,Dome,72.0,42365
778870,2025-03-18,17:05:00,Lee Health Sports Complex,142,5,116,6,Final,Sunny,75.0,8576
779025,2025-03-18,17:05:00,LECOM Park,134,3,143,2,Final,Sunny,74.0,7310
779062,2025-03-18,17:05:00,Roger Dean Chevrolet Stadium,138,4,146,4,Final: Tied,Sunny,75.0,4894
779043,2025-03-18,17:05:00,George M. Steinbrenner Field,147,4,111,4,Final: Tied,Sunny,74.0,9804
778812,2025-03-18,20:05:00,Goodyear Ballpark,113,1,108,0,Final,Sunny,69.0,5232
779001,2025-03-18,20:10:00,Peoria Stadium,136,9,158,3,Final,Sunny,69.0,8221
778716,2025-03-18,22:05:00,CACTI Park of the Palm Beaches,117,3,120,4,Final,Clear,75.0,3231
779119,2025-03-18,22:05:00,Ed Smith Stadium,110,8,141,2,Final,Clear,81.0,7323
778979,2025-03-18,01:05:00,Scottsdale Stadium,137,4,135,3,Final,Clear,68.0,9998
778921,2025-03-18,01:05:00,Surprise Stadium,140,7,114,3,Final,Clear,78.0,6802
778783,2025-03-18,01:40:00,Salt River Fields at Talking Stick,115,3,137,1,Final,Clear,66.0,8726
778564,2025-03-19,10:10:00,Tokyo Dome,112,3,119,6,Final,Dome,72.0,42367
778768,2025-03-19,17:05:00,JetBlue Park,111,6,116,4,Final,Sunny,75.0,9845
779058,2025-03-19,17:05:00,Roger Dean Chevrolet Stadium,138,7,120,1,Final,Sunny,78.0,5078
778964,2025-03-19,17:05:00,Charlotte Sports Park,139,5,134,2,Final,Sunny,79.0,4340
778900,2025-03-19,17:05:00,BayCare Ballpark,143,7,147,9,Final,Partly Cloudy,76.0,9809
778813,2025-03-19,20:05:00,Goodyear Ballpark,114,3,133,8,Final,Sunny,70.0,3812
779150,2025-03-19,20:10:00,Tempe Diablo Stadium,108,6,114,3,Final,Sunny,70.0,7566
778782,2025-03-19,20:10:00,Salt River Fields at Talking Stick,109,1,115,0,Final,Sunny,67.0,13242
779002,2025-03-19,20:10:00,Peoria Stadium,136,3,140,2,Final,Sunny,69.0,8501
779088,2025-03-19,20:10:00,American Family Fields of Phoenix,158,5,145,4,Final,Partly Cloudy,68.0,6225
